Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,187.0,254.0,0.0,73.62204724409449,0.0
2,253.0,0.0,0.0,0.0,0.0
3,148.0,0.0,0.0,0.0,0.0
4,251.0,0.0,0.0,0.0,0.0
5,129.0,0.0,0.0,0.0,0.0
6,270.0,0.0,0.0,0.0,0.0
7,280.0,280.0,0.0,100.0,0.0
8,140.0,0.0,0.0,0.0,0.0
9,161.0,0.0,0.0,0.0,0.0
10,64.0,119.0,0.0,53.78151260504202,0.0
11,85.0,0.0,0.0,0.0,0.0
12,154.0,264.0,0.0,58.333333333333336,0.0
13,106.0,0.0,106.0,0.0,100.0
14,203.00000000000003,0.0,0.0,0.0,0.0
15,161.0,0.0,0.0,0.0,0.0
16,189.0,0.0,0.0,0.0,0.0
17,195.0,0.0,0.0,0.0,0.0
18,225.0,0.0,0.0,0.0,0.0
19,226.0,0.0,0.0,0.0,0.0
20,308.0,308.0,0.0,100.0,0.0
21,232.0,0.0,0.0,0.0,0.0
22,170.99999999999997,0.0,0.0,0.0,0.0
23,232.0,0.0,0.0,0.0,0.0
24,269.0,0.0,0.0,0.0,0.0
25,181.0,0.0,0.0,0.0,0.0
26,92.0,0.0,0.0,0.0,0.0
27,213.0,0.0,0.0,0.0,0.0
28,154.0,0.0,0.0,0.0,0.0
29,165.0,0.0,0.0,0.0,0.0
30,175.0,0.0,0.0,0.0,0.0
31,159.00000000000003,0.0,0.0,0.0,0.0
32,130.99999999999997,309.0,0.0,42.39482200647248,0.0
33,114.0,114.0,0.0,100.0,0.0
34,119.0,0.0,0.0,0.0,0.0
35,231.99999999999997,232.0,0.0,99.99999999999999,0.0
36,243.0,0.0,0.0,0.0,0.0
37,146.00000000000003,0.0,0.0,0.0,0.0
38,127.0,0.0,0.0,0.0,0.0
39,175.0,0.0,0.0,0.0,0.0
40,179.0,229.0,0.0,78.16593886462883,0.0
41,164.0,268.0,0.0,61.19402985074627,0.0
42,104.99999999999999,0.0,0.0,0.0,0.0
43,228.99999999999997,375.0,0.0,61.066666666666656,0.0
44,186.0,290.0,0.0,64.13793103448275,0.0
45,266.0,0.0,0.0,0.0,0.0
46,273.0,0.0,0.0,0.0,0.0
47,169.0,195.0,0.0,86.66666666666667,0.0
48,256.0,259.0,0.0,98.84169884169884,0.0
49,276.0,0.0,0.0,0.0,0.0
50,176.0,0.0,0.0,0.0,0.0
51,127.0,129.0,0.0,98.44961240310077,0.0
52,269.0,0.0,0.0,0.0,0.0
53,116.0,116.0,0.0,100.0,0.0
54,209.0,0.0,0.0,0.0,0.0
55,239.0,0.0,0.0,0.0,0.0
56,77.0,0.0,0.0,0.0,0.0
57,123.0,0.0,0.0,0.0,0.0
58,264.0,264.0,0.0,100.0,0.0
59,181.0,0.0,0.0,0.0,0.0
60,134.0,146.0,0.0,91.78082191780823,0.0
61,143.0,250.0,250.0,57.199999999999996,57.199999999999996
62,176.0,238.0,0.0,73.94957983193278,0.0
63,69.0,0.0,0.0,0.0,0.0
64,244.0,0.0,0.0,0.0,0.0
65,49.0,0.0,0.0,0.0,0.0
66,237.0,237.0,0.0,100.0,0.0
67,159.0,0.0,0.0,0.0,0.0
68,116.0,0.0,0.0,0.0,0.0
69,166.0,0.0,0.0,0.0,0.0
70,168.0,168.0,0.0,100.0,0.0
71,46.0,284.0,0.0,16.19718309859155,0.0
72,218.0,0.0,0.0,0.0,0.0
73,184.0,0.0,0.0,0.0,0.0
74,166.0,205.0,0.0,80.97560975609757,0.0
75,83.0,0.0,0.0,0.0,0.0
76,246.0,0.0,0.0,0.0,0.0
77,151.0,0.0,0.0,0.0,0.0
78,80.0,145.0,0.0,55.172413793103445,0.0
79,153.0,191.0,0.0,80.10471204188482,0.0
80,149.0,0.0,0.0,0.0,0.0
81,67.0,0.0,0.0,0.0,0.0
82,163.0,0.0,0.0,0.0,0.0
83,94.0,0.0,0.0,0.0,0.0
84,119.0,0.0,0.0,0.0,0.0
85,255.0,0.0,0.0,0.0,0.0
86,193.0,193.0,0.0,100.0,0.0
87,202.0,0.0,0.0,0.0,0.0
88,167.0,0.0,0.0,0.0,0.0
89,74.0,74.0,0.0,100.0,0.0
90,113.0,0.0,0.0,0.0,0.0
91,218.0,0.0,0.0,0.0,0.0
92,141.0,0.0,0.0,0.0,0.0
93,236.0,334.0,0.0,70.65868263473054,0.0
94,156.0,0.0,0.0,0.0,0.0
95,104.0,104.0,0.0,100.0,0.0
96,126.0,126.0,0.0,100.0,0.0
97,177.0,0.0,0.0,0.0,0.0
98,220.0,220.0,0.0,100.0,0.0
99,343.0,347.0,0.0,98.84726224783861,0.0
100,205.0,0.0,0.0,0.0,0.0
