Instance,Classical,QAOA,ConstraintGen,QAOA_Percentage,CG_Percentage
1,166.0,223.0,223.0,74.43946188340807,74.43946188340807
2,203.0,252.0,252.0,80.55555555555556,80.55555555555556
3,109.0,109.0,340.0,100.0,32.05882352941177
4,265.0,0.0,265.0,0.0,100.0
5,96.0,0.0,96.0,0.0,100.0
6,127.0,127.0,127.0,100.0,100.0
7,94.0,0.0,240.0,0.0,39.166666666666664
8,220.0,225.0,220.0,97.77777777777777,100.0
9,161.0,0.0,161.0,0.0,100.0
10,194.0,0.0,194.0,0.0,100.0
11,263.0,0.0,391.0,0.0,67.26342710997443
12,232.99999999999997,0.0,233.0,0.0,99.99999999999999
13,336.0,0.0,357.0,0.0,94.11764705882352
14,186.0,0.0,186.0,0.0,100.0
15,189.0,0.0,304.0,0.0,62.17105263157895
16,184.0,241.0,241.0,76.34854771784232,76.34854771784232
17,138.0,173.0,0.0,79.76878612716763,0.0
18,158.0,0.0,366.0,0.0,43.169398907103826
19,57.0,57.0,57.0,100.0,100.0
20,105.0,343.0,288.0,30.612244897959183,36.45833333333333
21,211.99999999999997,0.0,231.0,0.0,91.77489177489177
22,160.0,0.0,187.0,0.0,85.56149732620321
23,53.0,0.0,53.0,0.0,100.0
24,164.0,164.0,164.0,100.0,100.0
25,235.0,235.0,276.0,100.0,85.14492753623189
26,124.0,124.0,211.0,100.0,58.767772511848335
27,135.0,0.0,135.0,0.0,100.0
28,186.00000000000003,186.0,186.0,100.00000000000003,100.00000000000003
29,147.0,147.0,147.0,100.0,100.0
30,179.0,192.0,238.0,93.22916666666666,75.21008403361344
31,131.0,0.0,131.0,0.0,100.0
32,206.0,0.0,209.0,0.0,98.56459330143541
33,146.0,0.0,251.0,0.0,58.16733067729084
34,148.00000000000003,0.0,0.0,0.0,0.0
35,251.0,406.0,251.0,61.822660098522164,100.0
36,138.0,374.0,138.0,36.898395721925134,100.0
37,167.0,0.0,167.0,0.0,100.0
38,191.0,0.0,191.0,0.0,100.0
39,230.0,0.0,230.0,0.0,100.0
40,295.0,0.0,350.0,0.0,84.28571428571429
41,104.0,0.0,349.0,0.0,29.799426934097422
42,130.0,130.0,130.0,100.0,100.0
43,234.0,423.0,423.0,55.319148936170215,55.319148936170215
44,75.99999999999997,0.0,273.0,0.0,27.83882783882783
45,118.0,0.0,192.0,0.0,61.458333333333336
46,148.00000000000003,0.0,266.0,0.0,55.63909774436091
47,139.0,281.0,260.0,49.46619217081851,53.46153846153846
48,185.0,0.0,242.0,0.0,76.44628099173553
49,273.00000000000006,0.0,273.0,0.0,100.00000000000003
50,188.99999999999997,0.0,189.0,0.0,99.99999999999999
51,225.0,287.0,225.0,78.397212543554,100.0
52,137.0,0.0,155.0,0.0,88.38709677419355
53,122.0,0.0,122.0,0.0,100.0
54,103.0,0.0,200.0,0.0,51.5
55,103.0,0.0,245.0,0.0,42.04081632653061
56,199.0,0.0,250.0,0.0,79.60000000000001
57,116.0,0.0,116.0,0.0,100.0
58,136.0,0.0,258.0,0.0,52.71317829457365
59,62.0,62.0,270.0,100.0,22.962962962962962
60,207.0,0.0,239.0,0.0,86.61087866108787
61,316.0,316.0,316.0,100.0,100.0
62,124.0,193.0,124.0,64.24870466321244,100.0
63,211.00000000000003,255.0,255.0,82.74509803921569,82.74509803921569
64,293.0,293.0,312.0,100.0,93.91025641025641
65,71.0,0.0,198.0,0.0,35.858585858585855
66,65.0,149.0,149.0,43.624161073825505,43.624161073825505
67,200.0,0.0,200.0,0.0,100.0
68,141.0,284.0,284.0,49.647887323943664,49.647887323943664
69,182.0,0.0,182.0,0.0,100.0
70,156.99999999999997,0.0,157.0,0.0,99.99999999999997
71,169.0,0.0,218.0,0.0,77.52293577981652
72,226.0,0.0,304.0,0.0,74.3421052631579
73,237.0,0.0,237.0,0.0,100.0
74,223.0,0.0,300.0,0.0,74.33333333333333
75,258.0,0.0,282.0,0.0,91.48936170212765
76,116.0,0.0,305.0,0.0,38.0327868852459
77,196.0,196.0,286.0,100.0,68.53146853146853
78,122.00000000000003,0.0,226.0,0.0,53.98230088495577
79,119.0,312.0,312.0,38.141025641025635,38.141025641025635
80,209.99999999999997,0.0,210.0,0.0,99.99999999999999
81,104.0,0.0,104.0,0.0,100.0
82,118.0,0.0,158.0,0.0,74.68354430379746
83,102.0,0.0,436.0,0.0,23.394495412844037
84,209.0,0.0,209.0,0.0,100.0
85,64.99999999999999,65.0,65.0,99.99999999999997,99.99999999999997
86,234.99999999999997,0.0,235.0,0.0,99.99999999999999
87,134.0,263.0,144.0,50.950570342205324,93.05555555555556
88,132.0,132.0,180.0,100.0,73.33333333333333
89,179.00000000000003,179.0,219.0,100.00000000000003,81.73515981735162
90,94.0,0.0,465.0,0.0,20.21505376344086
91,126.0,0.0,129.0,0.0,97.67441860465115
92,139.0,272.0,169.0,51.10294117647059,82.24852071005917
93,170.0,239.0,170.0,71.1297071129707,100.0
94,265.0,265.0,312.0,100.0,84.93589743589743
95,135.0,0.0,217.0,0.0,62.21198156682027
96,235.0,236.0,236.0,99.57627118644068,99.57627118644068
97,189.0,0.0,248.0,0.0,76.20967741935483
98,224.00000000000003,0.0,237.0,0.0,94.51476793248946
99,38.0,0.0,240.0,0.0,15.833333333333332
100,162.00000000000003,0.0,162.0,0.0,100.00000000000003
